192.168.43.182 - - [23/Apr/2021:17:02:05 +0200] "GET /ws/cours/etablissement/1 HTTP/1.1" 401 152
192.168.100.40 - - [23/Apr/2021:23:39:50 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 401 189
192.168.100.40 - - [23/Apr/2021:23:40:50 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 401 189
192.168.100.40 - - [23/Apr/2021:23:46:59 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 401 189
192.168.100.40 - - [23/Apr/2021:23:51:34 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 401 189
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:51:52 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:51:52 +0200] "GET /login HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:51:54 +0200] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:51:54 +0200] "GET /login HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:52:44 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:52:44 +0200] "GET /login HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:52:44 +0200] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:52:44 +0200] "GET /login HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:52:54 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:52:54 +0200] "GET /login HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:52:54 +0200] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:52:54 +0200] "GET /login HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:53:23 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:53:23 +0200] "GET /login HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:53:23 +0200] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:53:23 +0200] "GET /login HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:54:45 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Apr/2021:23:54:45 +0200] "GET /favicon.ico HTTP/1.1" 404 144
192.168.100.40 - - [23/Apr/2021:23:55:44 +0200] "GET /ws/cours/etablissement/1/classe/1618842194998/anneescolaire/1 HTTP/1.1" 200 12
